Genres
Pop
R&B/Soul
Contemporary R&B
Music
Indie Rock
Adult Alternative
Alternative
Rock
Singer/Songwriter
Pop/Rock
Electronic
Hip Hop/Rap
Disco
Dance
Rap
Soft Rock
Fitness & Workout
Country
Spoken Word
Southern Rock
Soul
Funk
Oldies
Vocal
College Rock
Folk-Rock
Contemporary Celtic
World
Adult Contemporary
Electronica
Industrial
Traditional Folk
Latin
Pop in Spanish
Contemporary Jazz
Jazz
Downtempo
Indie Pop
Contemporary Country
Teen Pop
Modern Dancehall
Roots Reggae
Reggae
Anime
Dirty South
Alternative Rap
Pop Punk
Trance
Techno
Salsa y Tropical
Urban Cowboy
Roots Rock
House
Country Blues
Contemporary Folk
K-Pop
J-Pop
Children's Music
Prog-Rock/Art Rock
New Wave
Arena Rock
Blues-Rock
Hard Rock
Rock & Roll
Asia
Soundtrack
Heavy Metal
Latin Urban
New Age
Alternative Folk
Traditional Country
Death Metal/Black Metal
Garage
Folk
Instrumental
Glam Rock
P
Celtic Folk
Psychedelic
Ambient
Hip-Hop
TV Soundtrack
Blues
German Pop
Grunge
Regional Mexicano
Rockabilly
Underground Rap
Christian & Gospel
French Pop
Original Score
Mandopop
Hardcore
Tribute
Hardcore Rap
West Coast Rap
Bluegrass
Afro-Beat
"Dance"""
Doo Wop
Classical Crossover
Gangsta Rap
Cello
Classical
Europe
Hair Metal
Gospel
Over Easy
Britpop
Bollywood
Indian
Punk
Neo-Soul
Americana
Relaxation
Piano
Contemporary Singer/Songwriter
Dancehall
Smooth Jazz
Honky Tonk
New Acoustic
Christian Pop
Praise & Worship
Easy Listening
Standup Comedy
Worldbeat
Soca
Surf
East Coast Rap
IDM/Experimental
Motown
Indian Pop
Acoustic Blues
Arabic Pop
Holiday
Alternative & Rock in Spanish
Africa
Ska
Dubstep
Quiet Storm
??????
Brazilian
Big Band
Breakbeat
Baladas y Boleros
American Trad Rock
Ikimonogakari
Musicals
Afro-Pop
Arabic
EMO
Alternative Country
Vocal Pop
Australia
Sayuri
Jungle/Drum'n'bass
Christian Rock
Comedy
Old School Rap
Sertanejo
Contemporary Era
France
Caribbean
Cuban / Bolero
Disco; _rock_;_
Punjabi Pop
British Invasion
Masayoshi Oishi
Forr?
Chicago Blues
Regional Indian
Indo Pop
Christmas
Christian Metal
Sound Effects
Oskar Schuster
Karaoke
HONNE
Japan
Sing-Along
Calypso
Christian Rap
Bass
Goth Rock
Meditation
Khaleeji
CCM
Fusion
Latin Jazz
Bebop
"Alternative"""
emon(Tes.)
mxmtoon
Madchester
Lullabies
Samba
Hard Bop
North African
a crowd of rebellion
Stereopony
Shorecrest Mafia
Jam Bands
