song ID,song name,song popularity,artist name,artist id,artist genres,album name,album id,album release date,track image,artist image
spotify:track:6TS236PVi4r5hHAcPikfrk,On the Level,47,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,"canadian singer-songwriter, chamber pop, folk, folk rock, melancholia, permanent wave, singer-songwriter",You Want It Darker,3jeTB3j3QmUs8SPIVleHtU,21/10/2016,https://i.scdn.co/image/ab67616d0000b2738fc3f01275cae3d8ecb1c26b,https://i.scdn.co/image/ab6761610000e5ebd09c1295779cfb71683cee99
spotify:track:7pyCJ0V0kIY57QdlEcM1eO,Leaving the Table,48,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,"canadian singer-songwriter, chamber pop, folk, folk rock, melancholia, permanent wave, singer-songwriter",You Want It Darker,3jeTB3j3QmUs8SPIVleHtU,21/10/2016,https://i.scdn.co/image/ab67616d0000b2738fc3f01275cae3d8ecb1c26b,https://i.scdn.co/image/ab6761610000e5ebd09c1295779cfb71683cee99
spotify:track:0WRusLjr3XEIBu44E8dFT6,If I Didn't Have Your Love,48,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,"canadian singer-songwriter, chamber pop, folk, folk rock, melancholia, permanent wave, singer-songwriter",You Want It Darker,3jeTB3j3QmUs8SPIVleHtU,21/10/2016,https://i.scdn.co/image/ab67616d0000b2738fc3f01275cae3d8ecb1c26b,https://i.scdn.co/image/ab6761610000e5ebd09c1295779cfb71683cee99
spotify:track:53uNHnOKnhq1UL4NfBpl4c,Traveling Light,46,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,"canadian singer-songwriter, chamber pop, folk, folk rock, melancholia, permanent wave, singer-songwriter",You Want It Darker,3jeTB3j3QmUs8SPIVleHtU,21/10/2016,https://i.scdn.co/image/ab67616d0000b2738fc3f01275cae3d8ecb1c26b,https://i.scdn.co/image/ab6761610000e5ebd09c1295779cfb71683cee99
spotify:track:1wDVl8APH2RbkEVTGtoq8C,It Seemed the Better Way,48,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,"canadian singer-songwriter, chamber pop, folk, folk rock, melancholia, permanent wave, singer-songwriter",You Want It Darker,3jeTB3j3QmUs8SPIVleHtU,21/10/2016,https://i.scdn.co/image/ab67616d0000b2738fc3f01275cae3d8ecb1c26b,https://i.scdn.co/image/ab6761610000e5ebd09c1295779cfb71683cee99
spotify:track:53Em0dYoacDflMEROypSlD,Steer Your Way,47,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,"canadian singer-songwriter, chamber pop, folk, folk rock, melancholia, permanent wave, singer-songwriter",You Want It Darker,3jeTB3j3QmUs8SPIVleHtU,21/10/2016,https://i.scdn.co/image/ab67616d0000b2738fc3f01275cae3d8ecb1c26b,https://i.scdn.co/image/ab6761610000e5ebd09c1295779cfb71683cee99
spotify:track:1h2ShZofwTeOhV5bDEIiNl,String Reprise / Treaty,45,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,"canadian singer-songwriter, chamber pop, folk, folk rock, melancholia, permanent wave, singer-songwriter",You Want It Darker,3jeTB3j3QmUs8SPIVleHtU,21/10/2016,https://i.scdn.co/image/ab67616d0000b2738fc3f01275cae3d8ecb1c26b,https://i.scdn.co/image/ab6761610000e5ebd09c1295779cfb71683cee99
spotify:track:78eouBKVRyhbSzJwChr6QM,Don't Hurt Yourself (feat. Jack White),62,Beyoncé,6vWDO969PvNqNYHIOW5v0m,"dance pop, pop, r&b",Lemonade,7dK54iZuOxXFarGhXwEXfF,23/04/2016,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,https://i.scdn.co/image/ab6761610000e5ebd3d058be8485c8583703b6d2
spotify:track:0pxNyJJiL2zZZ5GgJ4JhsQ,6 Inch (feat. The Weeknd),66,Beyoncé,6vWDO969PvNqNYHIOW5v0m,"dance pop, pop, r&b",Lemonade,7dK54iZuOxXFarGhXwEXfF,23/04/2016,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,https://i.scdn.co/image/ab6761610000e5ebd3d058be8485c8583703b6d2
spotify:track:2RQAG0wQt35UzAPEyVJFWN,Love Drought,61,Beyoncé,6vWDO969PvNqNYHIOW5v0m,"dance pop, pop, r&b",Lemonade,7dK54iZuOxXFarGhXwEXfF,23/04/2016,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23,https://i.scdn.co/image/ab6761610000e5ebd3d058be8485c8583703b6d2
