Unnamed: 0,song_id,acousticness,valence,danceability,energy,key_arr,instrumentalness,liveness,track image,artist image,loudness,speechiness,tempo,duration,h_s
20,spotify:track:5Gj1wG8b12VQdEd3hUuSwo,0.127,0.39,0.715,0.635,7,0,0.0862,https://i.scdn.co/image/ab67616d0000b273bd5fd1da3f5f0272e71400a3,https://i.scdn.co/image/ab6761610000e5eb6567299e3c53cf2a250fbdce,-6.591,0.0791,112.887,198635,h
21,spotify:track:6VrLYoQKdhu1Jruei06t65,0.0587,0.896,0.526,0.818,3,0,0.333,https://i.scdn.co/image/ab67616d0000b2739f89b8390933e9ccb3673c89,https://i.scdn.co/image/ab6761610000e5eb77ef80571a40d9d19cf52208,-5.952,0.0358,171.96,185098,h
22,spotify:track:0mjAU3yKR1QnXnHtjGJqTM,0.156,0.64,0.759,0.605,7,0,0.694,https://i.scdn.co/image/ab67616d0000b2734de9c83e9dfab133fb55d071,https://i.scdn.co/image/ab6761610000e5eb77bf00f67e21f514dc44c485,-7.737,0.0433,121.049,158900,h
23,spotify:track:0l4AReW2LuX0yStPfgQgSR,0.0145,0.589,0.579,0.839,8,3.04E-05,0.201,https://i.scdn.co/image/ab67616d0000b2739710b86c55dcf85736d4f551,https://i.scdn.co/image/ab6761610000e5eb6e295a69e6e93b9c4ce415b4,-5.409,0.0703,158.141,177173,h
24,spotify:track:1NzRZ7AosK7ZDumMsZYofo,0.0879,0.793,0.868,0.656,7,0.00316,0.14,https://i.scdn.co/image/ab67616d0000b2739d52163735bf12ebc22e334b,https://i.scdn.co/image/ab6761610000e5eb674297ead0f5afa626bfc84f,-6.579,0.0351,114.991,168983,h
25,spotify:track:1KtVVUM6OkpyOsbVfbMybX,0.0608,0.664,0.571,0.815,6,0,0.163,https://i.scdn.co/image/ab67616d0000b273b905ed1edb5a88c573c023b0,https://i.scdn.co/image/ab6761610000e5eb7d800f202dd15af03179876b,-3.267,0.0321,120.008,211460,h
26,spotify:track:79z9QkhHePTFsSeVw9uyj0,0.00143,0.733,0.632,0.639,5,0,0.221,https://i.scdn.co/image/ab67616d0000b27327ff5787bb1d875c3199ba62,https://i.scdn.co/image/ab6761610000e5eb4816f55146bf03d294005165,-5.938,0.0259,95.506,196893,h
27,spotify:track:27L8sESb3KR79asDUBu8nW,0.00207,0.927,0.774,0.75,11,1.78E-05,0.0808,https://i.scdn.co/image/ab67616d0000b273079e826265dffc3a8a26bac5,https://i.scdn.co/image/fe75e6f4ba0b2e75e97e3505f9daa112a606977f,-4.927,0.0412,118.015,197987,h
28,spotify:track:2grjqo0Frpf2okIBiifQKs,0.168,0.979,0.697,0.832,9,0.00131,0.269,https://i.scdn.co/image/ab67616d0000b2734dd033f4cf3a0a58059cde69,https://i.scdn.co/image/9fd0a9822140cce668ee15263e1f73730152dff0,-7.264,0.0298,125.926,215093,h
29,spotify:track:2RlgNHKcydI9sayD2Df2xp,0.652,0.477,0.388,0.338,10,3.72E-06,0.248,https://i.scdn.co/image/ab67616d0000b2738c4e95986c803791125e8991,https://i.scdn.co/image/ab6761610000e5eb3f289b61b4d965ce54e31841,-10.054,0.0328,177.784,303373,h
30,spotify:track:1M4qEo4HE3PRaCOM7EXNJq,0.0237,0.569,0.676,0.771,8,7.00E-06,0.102,https://i.scdn.co/image/ab67616d0000b273da715ed2f440e2f409f58d47,https://i.scdn.co/image/ab6761610000e5ebd9f70439ec8893ef495e1b7e,-3.675,0.0483,99.048,207133,h
31,spotify:track:14sOS5L36385FJ3OL8hew4,0.374,0.492,0.693,0.575,9,0,0.252,https://i.scdn.co/image/ab67616d0000b27382c80d6ec5b001d9ae49564d,https://i.scdn.co/image/ab6761610000e5eb6567299e3c53cf2a250fbdce,-6.998,0.0801,117.999,211362,h
32,spotify:track:0rIAC4PXANcKmitJfoqmVm,0.0192,0.881,0.599,0.887,4,1.21E-06,0.3,https://i.scdn.co/image/ab67616d0000b273b3cccc782ccb68faa42fcc17,https://i.scdn.co/image/ab6761610000e5eb88df630d05d2a188ecf14777,-3.967,0.0984,170.918,193837,h
33,spotify:track:03mMSLEJCPoGJwQhHpN5y0,0.128,0.697,0.653,0.869,5,2.20E-05,0.046,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,https://i.scdn.co/image/ab6761610000e5ebd9f70439ec8893ef495e1b7e,-3.725,0.0382,122.017,197347,h
34,spotify:track:4RVtBlHFKj51Ipvpfv5ER4,0.212,0.363,0.573,0.739,9,0,0.175,https://i.scdn.co/image/ab67616d0000b273b154bc645350b122934566e4,https://i.scdn.co/image/ab6761610000e5eb66d17ee8690d2e8d94ee7387,-5.455,0.0581,120.077,174062,h
35,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.0498,0.446,0.617,0.635,11,1.44E-05,0.164,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,https://i.scdn.co/image/ab6761610000e5eb3c02f4fb4cc9187c488afd50,-6.769,0.0317,103.019,247160,h
